                                               SPb SU 4 | Moscow IPT Zzyz | SPbSU “ÂÔÂ¸ ¡‡ |    Moscow SU SG | Moscow SU Trini |  SPb NRU ITMO 1 |          IITU 1 |    MIPT The Sun |   —œ·√” »“ÃŒ #2 |       MSU Tapir | Novosibirsk SU  |         MISIS-3 | Ural FU: It dep |       PetrSU #1 |      Viral Team | SPbSU is a ball |  Siberia United |       Dandelion | Moscow SU Nrise |          sms995 |            NCFU | Izhevsk STU Cyn |             MEX |  Where is Bobik |       SPb SU 37 |           NU #1 |  SPb NRU ITMO 5 |         SPbAU 1 |     Altai STU 1 | Novosibirsk Sta |       SibSUTI 1 | Tomsk PU: teen_ |           TSU-3 |        OmSU ADA |    ÀÂÏÏËÌ„Ë_NSU |      Tomsk PU 2 | Tomsk SU of CSR |       Khakas SU | Lyceum at Tomsk | Tomsk SU of CSR | Siberian Pandas |       DreamTeam |            WARP | Novosibirsk SU  |             LVA |    omsk_omstu_2 |        sibsuti2 | Tomsk SU of CSR |      ASU_team_1 | Per Duck: Bomb  |       God knows | 
                                                  13117 |           13118 |           13119 |           13120 |           13121 |           13122 |           13123 |           13124 |           13126 |           13127 |           13128 |           13129 |           13130 |           13131 |           13132 |           13133 |           13134 |           13135 |           13136 |           13137 |           13139 |           13140 |           13141 |           13142 |           13143 |           13144 |           13145 |           13147 |           13149 |           13150 |           13151 |           13152 |           13153 |           13154 |           13155 |           13156 |           13157 |           13158 |           13159 |           13160 |           13161 |           13162 |           13163 |           13164 |           13165 |           13167 |           13168 |           13169 |           13170 |           13171 |           13172 | 
                      SPb SU 4  13117 |  #############  | 1000000:      0 |       0:1000000 |  889258: 110742 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 | 1000000:      0 |  767735: 232265 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 
              Moscow IPT Zzyzx  13118 |       0:1000000 |  #############  |  109577: 890423 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |  727778: 272222 |       0:1000000 |       0:1000000 | 1000000:      0 |       0:1000000 |  738883: 261117 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |  756320: 243680 |       0:1000000 |   78582: 921418 | 1000000:      0 |       0:1000000 |       0:1000000 |       0:1000000 | 1000000:      0 |  567269: 432731 |       0:1000000 |  878788: 121212 |       0:1000000 |       0:1000000 |       0:1000000 | 1000000:      0 |       0:1000000 |  953488:  46512 |       0:1000000 |  543541: 456459 | 
       SPbSU “ÂÔÂ¸ ¡‡Ì‡ÌÓ‚˚È!  13119 | 1000000:      0 | 1000000:      0 |  #############  | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 |  999176:    824 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 |  425110: 574890 | 1000000:      0 |  768000: 232000 | 1000000:      0 |       0:1000000 | 1000000:      0 | 
                  Moscow SU SG  13120 |       0:1000000 | 1000000:      0 |       0:1000000 |  #############  |       0:1000000 | 1000000:      0 |  571256: 428744 |       0:1000000 | 1000000:      0 | 1000000:      0 | 1000000:      0 |  246968: 753032 |       0:1000000 |       0:1000000 |       0:1000000 |   99312: 900688 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 |   88889: 911111 | 1000000:      0 |       0:1000000 |       0:1000000 | 1000000:      0 |       0:1000000 | 1000000:      0 |       0:1000000 |       0:1000000 |       0:1000000 |  998292:   1708 |       0:1000000 | 1000000:      0 |       0:1000000 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 | 1000000:      0 |  799665: 200335 | 1000000:      0 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 | 1000000:      0 |  903331:  96669 | 1000000:      0 | 1000000:      0 | 
             Moscow SU Trinity  13121 |       0:1000000 | 1000000:      0 |       0:1000000 | 1000000:      0 |  #############  | 1000000:      0 |       0:1000000 |       0:1000000 | 1000000:      0 | 1000000:      0 | 1000000:      0 |  727174: 272826 |       0:1000000 |       0:1000000 |       0:1000000 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 |  433526: 566474 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 | 1000000:      0 | 1000000:      0 |       0:1000000 |  764637: 235363 |       0:1000000 | 1000000:      0 |  959638:  40362 | 1000000:      0 |       0:1000000 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 |       0:1000000 |       0:1000000 | 1000000:      0 | 1000000:      0 |  999176:    824 |       0:1000000 | 1000000:      0 | 
                SPb NRU ITMO 1  13122 | 1000000:      0 | 1000000:      0 |       0:1000000 |       0:1000000 |       0:1000000 |  #############  |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |  249433: 750567 |  632939: 367061 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 | 1000000:      0 |       0:1000000 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 |       0:1000000 |       0:1000000 | 1000000:      0 | 1000000:      0 | 1000000:      0 |       0:1000000 |       0:1000000 |       0:1000000 |  995463:   4537 |  446961: 553039 | 1000000:      0 |       0:1000000 |  983638:  16362 | 1000000:      0 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 | 1000000:      0 |       0:1000000 |       0:1000000 |       0:1000000 |  809145: 190855 |  996457:   3543 |       0:1000000 | 1000000:      0 | 
                        IITU 1  13123 |       0:1000000 | 1000000:      0 |       0:1000000 |       0:1000000 | 1000000:      0 | 1000000:      0 |  #############  | 1000000:      0 |       0:1000000 | 1000000:      0 |  760940: 239060 | 1000000:      0 | 1000000:      0 |       0:1000000 |       0:1000000 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 |  901865:  98135 | 1000000:      0 | 1000000:      0 | 1000000:      0 |  999176:    824 | 1000000:      0 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 | 1000000:      0 | 1000000:      0 |  253521: 746479 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 |  888889: 111111 |  815451: 184549 |       0:1000000 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 |       0:1000000 |  744928: 255072 |  712161: 287839 |       0:1000000 | 1000000:      0 | 
                  MIPT The Sun  13124 |       0:1000000 | 1000000:      0 |       0:1000000 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 |  #############  |  999176:    824 | 1000000:      0 | 1000000:      0 |  981611:  18389 | 1000000:      0 |       0:1000000 |       0:1000000 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 |  996711:   3289 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 |  998054:   1946 |       0:1000000 | 1000000:      0 |  900405:  99595 |       0:1000000 |  997531:   2469 | 
                 —œ·√” »“ÃŒ #2  13126 | 1000000:      0 | 1000000:      0 |       0:1000000 |    1527: 998473 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 |  #############  |       0:1000000 | 1000000:      0 |  458194: 541806 | 1000000:      0 |    1319: 998681 | 1000000:      0 | 1000000:      0 | 1000000:      0 |     929: 999071 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 |  529330: 470670 | 1000000:      0 | 1000000:      0 | 1000000:      0 |     774: 999226 |       0:1000000 |       0:1000000 | 1000000:      0 |     845: 999155 | 1000000:      0 |    3527: 996473 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 |    2469: 997531 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 |       0:1000000 |       0:1000000 | 1000000:      0 |  584049: 415951 | 1000000:      0 | 
                     MSU Tapir  13127 |       0:1000000 | 1000000:      0 |       0:1000000 |       0:1000000 |       0:1000000 | 1000000:      0 |       0:1000000 |       0:1000000 | 1000000:      0 |  #############  |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 | 1000000:      0 |       0:1000000 | 1000000:      0 | 1000000:      0 |  314356: 685644 | 1000000:      0 |       0:1000000 |       0:1000000 | 1000000:      0 |       0:1000000 | 1000000:      0 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 | 1000000:      0 |       0:1000000 |       0:1000000 | 1000000:      0 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 | 1000000:      0 |  998163:   1837 | 1000000:      0 |  896480: 103520 |       0:1000000 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 |  885488: 114512 | 1000000:      0 | 
